"timestamp","kg_feed_day-1"
2021-06-01 12:00:00,58.7
2021-06-02 12:00:00,58.7
2021-06-03 12:00:00,58.7
2021-06-04 12:00:00,64.57
2021-06-05 12:00:00,64.57
2021-06-06 12:00:00,64.57
2021-06-07 12:00:00,64.57
2021-06-08 12:00:00,64.57
2021-06-09 12:00:00,64.57
2021-06-10 12:00:00,64.57
2021-06-11 12:00:00,70.44
2021-06-12 12:00:00,70.44
2021-06-13 12:00:00,70.44
2021-06-14 12:00:00,70.44
2021-06-15 12:00:00,70.44
2021-06-16 12:00:00,0
2021-06-17 12:00:00,0
2021-06-18 12:00:00,0
2021-06-19 12:00:00,35.22
2021-06-20 12:00:00,70.44
2021-06-21 12:00:00,35.22
2021-06-22 12:00:00,35.22
2021-06-23 12:00:00,70.44
2021-06-24 12:00:00,70.44
2021-06-25 12:00:00,35.22
2021-06-26 12:00:00,0
2021-06-27 12:00:00,35.22
2021-06-28 12:00:00,70.44
2021-06-29 12:00:00,88.05
2021-06-30 12:00:00,46.96
2021-07-01 12:00:00,37.79
2021-07-02 12:00:00,33.06
2021-07-03 12:00:00,33.06
2021-07-04 12:00:00,70.85
2021-07-05 12:00:00,70.85
2021-07-06 12:00:00,70.85
2021-07-07 12:00:00,37.79
2021-07-08 12:00:00,70.85
2021-07-09 12:00:00,70.85
2021-07-10 12:00:00,70.85
2021-07-11 12:00:00,70.85
2021-07-12 12:00:00,37.79
2021-07-13 12:00:00,70.85
2021-07-14 12:00:00,70.85
2021-07-15 12:00:00,70.85
2021-07-16 12:00:00,70.85
2021-07-17 12:00:00,80.3
2021-07-18 12:00:00,80.3
2021-07-19 12:00:00,80.3
2021-07-20 12:00:00,42.51
2021-07-21 12:00:00,80.3
2021-07-22 12:00:00,80.3
2021-07-23 12:00:00,80.3
2021-07-24 12:00:00,80.3
2021-07-25 12:00:00,80.3
2021-07-26 12:00:00,80.3
2021-07-27 12:00:00,80.3
2021-07-28 12:00:00,80.3
2021-07-29 12:00:00,80.3
2021-07-30 12:00:00,89.75
2021-07-31 12:00:00,89.75
2021-08-01 12:00:00,97.85
2021-08-02 12:00:00,97.85
2021-08-03 12:00:00,97.85
2021-08-04 12:00:00,97.85
2021-08-05 12:00:00,97.85
2021-08-06 12:00:00,97.85
2021-08-07 12:00:00,97.85
2021-08-08 12:00:00,97.85
2021-08-09 12:00:00,97.85
2021-08-10 12:00:00,97.85
2021-08-11 12:00:00,97.85
2021-08-12 12:00:00,97.85
2021-08-13 12:00:00,97.85
2021-08-14 12:00:00,108.15
2021-08-15 12:00:00,108.15
2021-08-16 12:00:00,108.15
2021-08-17 12:00:00,108.15
2021-08-18 12:00:00,108.15
2021-08-19 12:00:00,108.15
2021-08-20 12:00:00,108.15
2021-08-21 12:00:00,118.45
2021-08-22 12:00:00,118.45
2021-08-23 12:00:00,118.45
2021-08-24 12:00:00,118.45
2021-08-25 12:00:00,118.45
2021-08-26 12:00:00,118.45
2021-08-27 12:00:00,118.45
2021-08-28 12:00:00,118.45
2021-08-29 12:00:00,118.45
2021-08-30 12:00:00,118.45
2021-08-31 12:00:00,118.45
2021-09-01 12:00:00,127.2
2021-09-02 12:00:00,127.2
2021-09-03 12:00:00,127.2
2021-09-04 12:00:00,138.3
2021-09-05 12:00:00,138.3
2021-09-06 12:00:00,138.3
2021-09-07 12:00:00,138.3
2021-09-08 12:00:00,105.1
2021-09-09 12:00:00,138.3
2021-09-10 12:00:00,102.9
2021-09-11 12:00:00,149.3
2021-09-12 12:00:00,77.4
2021-09-13 12:00:00,71.9
2021-09-14 12:00:00,149.3
2021-09-15 12:00:00,149.3
2021-09-16 12:00:00,149.3
2021-09-17 12:00:00,149.3
2021-09-18 12:00:00,83
2021-09-19 12:00:00,154.8
2021-09-20 12:00:00,154.8
2021-09-21 12:00:00,154.8
2021-09-22 12:00:00,71.9
2021-09-23 12:00:00,154.8
2021-09-24 12:00:00,154.8
2021-09-25 12:00:00,160.4
2021-09-26 12:00:00,160.4
2021-09-27 12:00:00,160.4
2021-09-28 12:00:00,160.4
2021-09-29 12:00:00,165.9
2021-09-30 12:00:00,165.9
2021-10-01 12:00:00,154.3
2021-10-02 12:00:00,154.3
2021-10-03 12:00:00,154.3
2021-10-04 12:00:00,79.8
2021-10-05 12:00:00,0
2021-10-06 12:00:00,0
2021-10-07 12:00:00,0
2021-10-08 12:00:00,122.4
2021-10-09 12:00:00,161.8
2021-10-10 12:00:00,166
2021-10-11 12:00:00,166
2021-10-12 12:00:00,166
2021-10-13 12:00:00,166
2021-10-14 12:00:00,166
2021-10-15 12:00:00,166
2021-10-16 12:00:00,166
2021-10-17 12:00:00,166
2021-10-18 12:00:00,166
2021-10-19 12:00:00,166
2021-10-20 12:00:00,172.4
2021-10-21 12:00:00,172.4
2021-10-22 12:00:00,172.4
2021-10-23 12:00:00,89.4
2021-10-24 12:00:00,172.4
2021-10-25 12:00:00,172.4
2021-10-26 12:00:00,89.4
2021-10-27 12:00:00,89.4
2021-10-28 12:00:00,172.4
2021-10-29 12:00:00,172.4
2021-10-30 12:00:00,172.4
2021-10-31 12:00:00,172.43
