"timestamp","CO2_ppm"
2021-06-01 10:00:00,NA
2021-06-01 16:00:00,NA
2021-06-02 10:00:00,NA
2021-06-02 16:00:00,NA
2021-06-03 10:00:00,NA
2021-06-03 16:00:00,NA
2021-06-04 10:00:00,NA
2021-06-04 16:00:00,NA
2021-06-05 10:00:00,NA
2021-06-05 16:00:00,NA
2021-06-06 10:00:00,NA
2021-06-06 16:00:00,NA
2021-06-07 10:00:00,NA
2021-06-07 16:00:00,NA
2021-06-08 10:00:00,NA
2021-06-08 16:00:00,NA
2021-06-09 10:00:00,NA
2021-06-09 16:00:00,NA
2021-06-10 10:00:00,NA
2021-06-10 16:00:00,NA
2021-06-11 10:00:00,NA
2021-06-11 16:00:00,NA
2021-06-12 10:00:00,NA
2021-06-12 16:00:00,NA
2021-06-13 10:00:00,NA
2021-06-13 16:00:00,NA
2021-06-14 10:00:00,NA
2021-06-14 16:00:00,NA
2021-06-15 10:00:00,NA
2021-06-15 16:00:00,NA
2021-06-16 10:00:00,NA
2021-06-16 16:00:00,NA
2021-06-17 10:00:00,7
2021-06-17 16:00:00,NA
2021-06-18 10:00:00,7
2021-06-18 16:00:00,NA
2021-06-19 10:00:00,8
2021-06-19 16:00:00,NA
2021-06-20 10:00:00,NA
2021-06-20 16:00:00,NA
2021-06-21 10:00:00,8
2021-06-21 16:00:00,6
2021-06-22 10:00:00,8
2021-06-22 16:00:00,NA
2021-06-23 10:00:00,8
2021-06-23 16:00:00,NA
2021-06-24 10:00:00,6
2021-06-24 16:00:00,NA
2021-06-25 10:00:00,7
2021-06-25 16:00:00,NA
2021-06-26 10:00:00,NA
2021-06-26 16:00:00,NA
2021-06-27 10:00:00,NA
2021-06-27 16:00:00,NA
2021-06-28 10:00:00,8
2021-06-28 16:00:00,NA
2021-06-29 10:00:00,8
2021-06-29 16:00:00,NA
2021-06-30 10:00:00,8
2021-06-30 16:00:00,NA
2021-07-01 10:00:00,NA
2021-07-01 16:00:00,NA
2021-07-02 10:00:00,8
2021-07-02 16:00:00,NA
2021-07-03 10:00:00,9
2021-07-03 16:00:00,9
2021-07-04 10:00:00,8
2021-07-04 16:00:00,NA
2021-07-05 10:00:00,NA
2021-07-05 16:00:00,NA
2021-07-06 10:00:00,9
2021-07-06 16:00:00,NA
2021-07-07 10:00:00,8
2021-07-07 16:00:00,8
2021-07-08 10:00:00,8
2021-07-08 16:00:00,7
2021-07-09 10:00:00,7
2021-07-09 16:00:00,NA
2021-07-10 10:00:00,9
2021-07-10 16:00:00,NA
2021-07-11 10:00:00,9
2021-07-11 16:00:00,8
2021-07-12 10:00:00,NA
2021-07-12 16:00:00,NA
2021-07-13 10:00:00,8
2021-07-13 16:00:00,8
2021-07-14 10:00:00,9
2021-07-14 16:00:00,NA
2021-07-15 10:00:00,9
2021-07-15 16:00:00,8
2021-07-16 10:00:00,8
2021-07-16 16:00:00,NA
2021-07-17 10:00:00,9
2021-07-17 16:00:00,7
2021-07-18 10:00:00,9
2021-07-18 16:00:00,NA
2021-07-19 10:00:00,NA
2021-07-19 16:00:00,NA
2021-07-20 10:00:00,8
2021-07-20 16:00:00,NA
2021-07-21 10:00:00,9
2021-07-21 16:00:00,8
2021-07-22 10:00:00,9
2021-07-22 16:00:00,9
2021-07-23 10:00:00,9
2021-07-23 16:00:00,9
2021-07-24 10:00:00,7
2021-07-24 16:00:00,9
2021-07-25 10:00:00,7
2021-07-25 16:00:00,8
2021-07-26 10:00:00,NA
2021-07-26 16:00:00,NA
2021-07-27 10:00:00,8
2021-07-27 16:00:00,9
2021-07-28 10:00:00,9
2021-07-28 16:00:00,10
2021-07-29 10:00:00,8
2021-07-29 16:00:00,NA
2021-07-30 10:00:00,NA
2021-07-30 16:00:00,NA
2021-07-31 10:00:00,9
2021-07-31 16:00:00,NA
2021-08-01 10:00:00,9
2021-08-01 16:00:00,NA
2021-08-02 10:00:00,NA
2021-08-02 16:00:00,NA
2021-08-03 10:00:00,10
2021-08-03 16:00:00,9
2021-08-04 10:00:00,10
2021-08-04 16:00:00,10
2021-08-05 10:00:00,9
2021-08-05 16:00:00,10
2021-08-06 10:00:00,9
2021-08-06 16:00:00,9
2021-08-07 10:00:00,10
2021-08-07 16:00:00,9
2021-08-08 10:00:00,10
2021-08-08 16:00:00,NA
2021-08-09 10:00:00,NA
2021-08-09 16:00:00,NA
2021-08-10 10:00:00,10
2021-08-10 16:00:00,10
2021-08-11 10:00:00,11
2021-08-11 16:00:00,10
2021-08-12 10:00:00,11
2021-08-12 16:00:00,10
2021-08-13 10:00:00,10
2021-08-13 16:00:00,11
2021-08-14 10:00:00,10
2021-08-14 16:00:00,NA
2021-08-15 10:00:00,10
2021-08-15 16:00:00,NA
2021-08-16 10:00:00,NA
2021-08-16 16:00:00,NA
2021-08-17 10:00:00,10
2021-08-17 16:00:00,NA
2021-08-18 10:00:00,10
2021-08-18 16:00:00,NA
2021-08-19 10:00:00,10
2021-08-19 16:00:00,NA
2021-08-20 10:00:00,11
2021-08-20 16:00:00,NA
2021-08-21 10:00:00,11
2021-08-21 16:00:00,NA
2021-08-22 10:00:00,NA
2021-08-22 16:00:00,NA
2021-08-23 10:00:00,NA
2021-08-23 16:00:00,NA
2021-08-24 10:00:00,10
2021-08-24 16:00:00,NA
2021-08-25 10:00:00,11
2021-08-25 16:00:00,NA
2021-08-26 10:00:00,10
2021-08-26 16:00:00,NA
2021-08-27 10:00:00,12
2021-08-27 16:00:00,NA
2021-08-28 10:00:00,11
2021-08-28 16:00:00,NA
2021-08-29 10:00:00,6
2021-08-29 16:00:00,NA
2021-08-30 10:00:00,NA
2021-08-30 16:00:00,NA
2021-08-31 10:00:00,10
2021-08-31 16:00:00,NA
2021-09-01 10:00:00,9
2021-09-01 16:00:00,NA
2021-09-02 10:00:00,8
2021-09-02 16:00:00,NA
2021-09-03 10:00:00,NA
2021-09-03 16:00:00,NA
2021-09-04 10:00:00,NA
2021-09-04 16:00:00,NA
2021-09-05 10:00:00,NA
2021-09-05 16:00:00,NA
2021-09-06 10:00:00,NA
2021-09-06 16:00:00,NA
2021-09-07 10:00:00,NA
2021-09-07 16:00:00,NA
2021-09-08 10:00:00,NA
2021-09-08 16:00:00,NA
2021-09-09 10:00:00,NA
2021-09-09 16:00:00,NA
2021-09-10 10:00:00,NA
2021-09-10 16:00:00,NA
2021-09-11 10:00:00,8
2021-09-11 16:00:00,9
2021-09-12 10:00:00,8
2021-09-12 16:00:00,NA
2021-09-13 10:00:00,NA
2021-09-13 16:00:00,NA
2021-09-14 10:00:00,10
2021-09-14 16:00:00,8
2021-09-15 10:00:00,9
2021-09-15 16:00:00,9
2021-09-16 10:00:00,8
2021-09-16 16:00:00,8
2021-09-17 10:00:00,10
2021-09-17 16:00:00,9
2021-09-18 10:00:00,9
2021-09-18 16:00:00,11
2021-09-19 10:00:00,10
2021-09-19 16:00:00,NA
2021-09-20 10:00:00,NA
2021-09-20 16:00:00,NA
2021-09-21 10:00:00,10
2021-09-21 16:00:00,9
2021-09-22 10:00:00,10
2021-09-22 16:00:00,10
2021-09-23 10:00:00,9
2021-09-23 16:00:00,10
2021-09-24 10:00:00,8
2021-09-24 16:00:00,10
2021-09-25 10:00:00,11
2021-09-25 16:00:00,10
2021-09-26 10:00:00,11
2021-09-26 16:00:00,NA
2021-09-27 10:00:00,NA
2021-09-27 16:00:00,NA
2021-09-28 10:00:00,11
2021-09-28 16:00:00,11
2021-09-29 10:00:00,10
2021-09-29 16:00:00,11
2021-09-30 10:00:00,10
2021-09-30 16:00:00,11
2021-10-01 10:00:00,11
2021-10-01 16:00:00,11
2021-10-02 10:00:00,NA
2021-10-02 16:00:00,NA
2021-10-03 10:00:00,11
2021-10-03 16:00:00,NA
2021-10-04 10:00:00,10
2021-10-04 16:00:00,11
2021-10-05 10:00:00,NA
2021-10-05 16:00:00,NA
2021-10-06 10:00:00,12
2021-10-06 16:00:00,11
2021-10-07 10:00:00,11
2021-10-07 16:00:00,11
2021-10-08 10:00:00,10
2021-10-08 16:00:00,NA
2021-10-09 10:00:00,NA
2021-10-09 16:00:00,NA
2021-10-10 10:00:00,NA
2021-10-10 16:00:00,NA
2021-10-11 10:00:00,17
2021-10-11 16:00:00,NA
2021-10-12 10:00:00,17
2021-10-12 16:00:00,NA
2021-10-13 10:00:00,17
2021-10-13 16:00:00,16
2021-10-14 10:00:00,17
2021-10-14 16:00:00,17
2021-10-15 10:00:00,15
2021-10-15 16:00:00,16
2021-10-16 10:00:00,17
2021-10-16 16:00:00,NA
2021-10-17 10:00:00,16
2021-10-17 16:00:00,16
2021-10-18 10:00:00,17
2021-10-18 16:00:00,NA
2021-10-19 10:00:00,NA
2021-10-19 16:00:00,NA
2021-10-20 10:00:00,15
2021-10-20 16:00:00,16
2021-10-21 10:00:00,17
2021-10-21 16:00:00,16
2021-10-22 10:00:00,17
2021-10-22 16:00:00,15
2021-10-23 10:00:00,18
2021-10-23 16:00:00,16
2021-10-24 10:00:00,15
2021-10-24 16:00:00,16
2021-10-25 10:00:00,17
2021-10-25 16:00:00,NA
